item_code,category,category_label,name,source_slug,basis_health,inherited_grade,inherited_score,base_n_sources,base_full,base_partial,base_weak,base_disputed,base_n_jurisdictions,base_n_languages,base_pct_english,base_pct_anglo_core
A-01,A,Acoustics,Acoustic Buffer Zones at Noisy Adjacencies,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-02,A,Acoustics,Acoustic Ceiling Panels (NRC ≥0.85) in Occupied Spaces,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-03,A,Acoustics,Acoustic Door (STC ≥35) at All Sensitive Space Boundaries,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-04,A,Acoustics,Acoustic Zoning: Graduated from Arrival to Primary Occupation,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-05,A,Acoustics,Carpet in Corridors and Occupied Spaces (Where VIS Navigation Maintained),room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-06,A,Acoustics,Fabric Wall Panels (NRC ≥0.70) at Acoustic Reflection Points,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-07,A,Acoustics,Flutter Echo Elimination (Parallel Hard Surface Avoidance),room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-08,A,Acoustics,HVAC Noise Control (NC-25 Maximum in Sensitive Spaces),room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-09,A,Acoustics,HVAC Vibration Isolation (Floating Plant Room),room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-10,A,Acoustics,Counter Hearing Loop (Induction Loop at Reception/Service Counter),assistive-listening-systems,full,B,73.2,8,2,2,4,0,5,5,50.0,0.0
A-10b,A,Acoustics,RT60 for Hydrotherapy and Pool Environments,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-11,A,Acoustics,Room Perimeter Hearing Loop (Assembly and Meeting Spaces),assistive-listening-systems,full,B,73.2,8,2,2,4,0,5,5,50.0,0.0
A-12,A,Acoustics,Auracast Infrastructure Readiness,assistive-listening-systems,full,B,73.2,8,2,2,4,0,5,5,50.0,0.0
A-13,A,Acoustics,No Sound Masking in Neurological Population Environments,,no-source,—,,,,,,,,,,
A-14,A,Acoustics,Double-Leaf Partition (STC ≥50) for Sensitive Adjacencies,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-15,A,Acoustics,Acoustic Differentiation Between Spaces (Navigation Aid for VIS),,no-source,—,,,,,,,,,,
A-16,A,Acoustics,"Sensory Room / Quiet Room Provision (≥8 m², one per floor or per 500 m² GFA)",sensory-relief-space-design,full,C,59.3,10,7,1,1,1,6,1,100.0,80.0
A-17,A,Acoustics,Upholstered Seating Throughout Occupied Spaces,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
A-18,A,Acoustics,RT60 in Occupied Learning and Listening Spaces,room-acoustic-performance,full,A,84.8,32,19,10,3,0,13,8,78.1,50.0
B-01,B,Lighting,Circadian Lighting (≥150 EML Minimum at Eye Level in Daytime Spaces),circadian-lighting-melanopic-edi,full,B,69.9,12,7,5,0,0,4,2,91.7,16.7
B-02,B,Lighting,Diffuse Lighting for Lip Reading and Sign Language (Shadow-Free Face Illumination),deaf-spatial-design,full,A,82.4,13,8,1,4,0,8,5,61.5,38.5
B-03,B,Lighting,Elimination of Fluorescent Overhead Lighting,therapeutic-lighting-design,partial,D,43.4,4,0,4,0,0,3,2,75.0,0.0
B-04,B,Lighting,Flicker-Free LED Luminaires (IEEE 1789-2015 Compliant),therapeutic-lighting-design,partial,D,43.4,4,0,4,0,0,3,2,75.0,0.0
B-05,B,Lighting,Gradual Lighting Transition Zones (≥5 m at All Major Illuminance Changes),therapeutic-lighting-design,partial,D,43.4,4,0,4,0,0,3,2,75.0,0.0
B-06,B,Lighting,Individual Dimming Control (≥300 Lux Range),therapeutic-lighting-design,partial,D,43.4,4,0,4,0,0,3,2,75.0,0.0
B-07,B,Lighting,Indirect and Cove Lighting in Sensitive Spaces,therapeutic-lighting-design,partial,D,43.4,4,0,4,0,0,3,2,75.0,0.0
B-08,B,Lighting,"Matte, Low-Reflectance Floor Finishes (≤30 Gloss Units)",,no-source,—,,,,,,,,,,
B-09,B,Lighting,"Maximisation of Natural Light (Clerestory, Light Wells, Rooflights)",biophilic-design-healthcare-workplace,full,C,56.7,6,5,0,0,1,3,1,100.0,33.3
